Hs,Tz
15.232,13.448
15.201,13.598
15.106,13.722
14.948,13.82
14.729,13.893
14.451,13.939
14.117,13.959
13.728,13.953
13.288,13.923
12.801,13.87
12.272,13.796
11.705,13.702
11.105,13.593
10.477,13.471
9.8273,13.339
9.1617,13.202
8.4865,13.063
7.808,12.926
7.1329,12.794
6.4679,12.668
5.8197,12.55
5.1948,12.437
4.5998,12.324
4.0408,12.207
3.5234,12.076
3.0526,11.922
2.6321,11.736
2.2645,11.513
1.9507,11.251
1.6899,10.955
1.4791,10.633
1.3138,10.298
1.1881,9.9601
1.0954,9.6268
1.0291,9.3019
0.98275,8.9855
0.95118,8.6758
0.93006,8.3706
0.91613,8.068
0.90703,7.7669
0.90111,7.4671
0.89726,7.1689
0.89475,6.8733
0.89311,6.5815
0.89202,6.2948
0.8913,6.0142
0.89082,5.7412
0.89051,5.4766
0.89031,5.2214
0.89021,4.9763
0.89017,4.7419
0.89021,4.5186
0.89031,4.3068
0.89051,4.1066
0.89082,3.9181
0.8913,3.7413
0.89202,3.5762
0.89311,3.4227
0.89475,3.2807
0.89726,3.1503
0.90111,3.0317
0.90703,2.9253
0.91613,2.8318
0.93006,2.7525
0.95118,2.6892
0.98275,2.6447
1.0291,2.6223
1.0954,2.6261
1.1881,2.6608
1.3138,2.7309
1.4791,2.8407
1.6899,2.9939
1.9507,3.1929
2.2645,3.4389
2.6321,3.7317
3.0526,4.0692
3.5234,4.4476
4.0408,4.8618
4.5998,5.3051
5.1948,5.7703
5.8197,6.2499
6.4679,6.7368
7.1329,7.2245
7.808,7.7077
8.4865,8.1821
9.1617,8.6446
9.8273,9.0929
10.477,9.5255
11.105,9.9414
11.705,10.34
12.272,10.721
12.801,11.084
13.288,11.428
13.728,11.753
14.117,12.059
14.451,12.345
14.729,12.61
14.948,12.854
15.106,13.076
15.201,13.274
